[00:00:00.300] 我是納瓦爾
[00:02:28.733] 我沒有創造他
[00:02:30.333] 我只是把不屬於大衛的部分鑿掉了
[00:02:33.100] 這就是減法的極致藝術
[00:02:35.633] 你的理想生活
[00:02:37.400] 那個真正自由快樂平靜的你
[00:02:40.733] 其實一直都在那裏
[00:02:42.833] 它被埋藏在你對他人的討好之下
[00:02:46.000] 被埋藏在你對物質的貪婪之下
[00:02:49.000] 被埋藏在你對錯失機會的恐懼
[00:02:52.033] FOMO之下
[00:02:53.700] 我們要做的不是去成為一個更好的人
[00:02:58.200] 而是去鑿掉那些不屬於你的部分
[00:03:02.533] 現代社會的陷阱在於
[00:03:04.666] 它讓你相信成功是一個積累的過程
[00:03:08.200] 更多更多更多
[00:03:11.266] 這就像拿著一個孔眼太細的篩子
[00:03:13.866] 去河裏淘金
[00:03:15.500] 你不想錯過任何東西
[00:03:17.433] 你把泥土沙礫石頭
[00:03:19.600] 枯枝敗葉全部留在篩子裏
[00:03:21.900] 緊緊抓住不放
[00:03:24.100] 結果呢
[00:03:25.100] 你得到了一盤沉重的毫無價值的垃圾
[00:03:29.233] 而真正的金子因為被這些垃圾掩蓋
[00:03:32.466] 你根本看不見
[00:03:34.333] 為了找到金子
[00:03:35.633] 為了找到那真正屬於你的大衛
[00:03:38.833] 你必須把篩子的孔眼變大
[00:03:41.333] 你得有勇氣讓沙土流走
[00:03:43.633] 你得讓那些看起來好像有價值
[00:03:46.233] 其實只是負擔的東西流走
[00:03:48.833] 只有當你不害怕失去的時候
[00:03:51.233] 你才能真正擁有
[00:03:53.133] 這讓我想起了列夫
[00:03:54.333] 托爾斯泰晚年講過的一個故事
[00:03:57.200] 這個故事深刻的揭示了現代人的困境
[00:04:00.800] 故事裏有兩個角色
[00:04:02.700] 一個是宮廷裏位高權重的權臣
[00:04:05.800] 一個是鄉下的修表匠
[00:04:07.800] 權臣擁有巨大的權力
[00:04:09.666] 無數人仰仗他的鼻息
[00:04:12.100] 但他的一天是被切碎的
[00:04:14.800] 早晨要上朝
[00:04:16.266] 中午要陪皇帝吃飯
[00:04:18.400] 下午要處理堆積如山的檔
[00:04:21.066] 晚上還要應付那些虛偽的社交晚宴
[00:04:24.233] 他的每一分鐘都屬於別人
[00:04:27.066] 而那個收入微薄的修表匠
[00:04:29.233] 每天只工作四五個小時
[00:04:31.800] 剩下的時間
[00:04:33.000] 他在森林裏散步
[00:04:34.800] 他在爐火旁讀書
[00:04:36.833] 他陪伴生病的妻子
[00:04:38.800] 他看著窗外的雪花落下
[00:04:41.066] 托爾斯泰問究竟誰才是真正富有的人
[00:04:45.700] 答案在今天看來依然振聾發聵
[00:04:48.866] 修表匠才是那個富人
[00:04:51.133] 因為他擁有生命中最昂貴的奢侈品
[00:04:54.200] 屬於自己的時間
[00:04:56.200] 而那位權臣
[00:04:57.700] 不過是一個穿著絲綢長袍
[00:05:00.400] 戴著金鎖鏈的囚徒
[00:05:02.800] 如果你沒有將時間留給自己
[00:05:05.233] 不管你的頭銜多響亮
[00:05:07.300] 你仍然是時間的奴隸
[00:05:09.766] 所以
[00:05:10.500] 與其追逐更多的人脈更多的快樂
[00:05:13.066] 更多的活動更多的物品
[00:05:14.800] 乃至更多的成就
[00:05:16.300] 我們往往能通過減少這些
[00:05:18.700] 獲得更大的滿足
[00:05:20.866] 這聽起來反直覺
[00:05:22.733] 對吧
[00:05:23.933] 讓我們引入一位悲觀主義哲學大師
[00:05:26.633] 的視角叔本華
[00:05:29.333] 叔本華認為
[00:05:30.300] 幸福並不是來自追逐快樂
[00:05:33.433] 所有的快樂都是短暫的
[00:05:35.500] 像是指縫間流走的沙
[00:05:37.833] 真正的幸福本質上是消極的
[00:05:40.933] 它的實質是免於痛苦
[00:05:43.700] 如果你能消除生活中的焦慮
[00:05:46.066] 消除不必要的壓力
[00:05:48.000] 消除對他人評價的恐懼
[00:05:50.333] 消除身體的病痛
[00:05:52.233] 當你把這些負面因素都減去之後
[00:05:54.633] 剩下的那種平靜的狀態就是幸福
[00:05:58.600] 我的好朋友
[00:05:59.800] 也是黑天鵝的作者納西姆塔
[00:06:02.133] 勒布
[00:06:03.466] 他把這個概念稱為否定法
[00:06:07.200] via Negativa他是一個極度的懷疑論者
[00:06:10.933] 但他也是一個極度的生活家
[00:06:13.533] 塔勒布說幸福最大的最可靠的來源
[00:06:17.833] 不是來自於增加什麼
[00:06:19.900] 而是來自於消除或減少不幸福
[00:06:23.700] 尤其是長期的壓力焦慮和不滿的來源
[00:06:28.133] 這比你買一輛法拉利
[00:06:30.200] 或者在Instagram上獲得100萬個贊
[00:06:34.066] 帶來的幸福感
[00:06:35.433] 要持久的多
[00:06:37.100] 我們在這裏追求的
[00:06:38.666] 並不是那種甚至有點做作的極簡主義
[00:06:42.100] 現在的極簡主義被商業化了
[00:06:44.533] 變成了一種你必須扔掉所有東西
[00:06:47.600] 只睡在地板上的表演
[00:06:50.500] 不我說的不是那個
[00:06:52.733] 我追求的是一種精確主義
[00:06:55.333] 這是一種追求清晰和嚴謹的生活態度
[00:06:58.866] 這是一種對外科手術般精准度的追求
[00:07:02.666] 我們要培養一種直覺
[00:07:04.600] 一種能夠瞬間判斷什麼該留
[00:07:07.000] 什麼該滾蛋的直覺
[00:07:09.200] 日本茶道宗師千利休
[00:07:11.200] 是這種美學的巔峰代表
[00:07:13.666] 有一次他要接待一位大將軍
[00:07:16.833] 將軍滿懷期待的走進茶室
[00:07:19.666] 以為會看到滿屋的金銀財寶
[00:07:21.800] 或奇花異草
[00:07:23.466] 結果他發現偌大的房間空無一物
[00:07:27.200] 只有牆上的壁龕裏
[00:07:28.833] 插著一只孤零零的梅花
[00:07:31.200] 將軍疑惑的問這是為我準備的嗎
[00:07:34.900] 是不是太寒酸了
[00:07:36.800] 千裏修平靜的回答正因為是你
[00:07:40.600] 我才撤去了所有多餘的東西
[00:07:43.100] 只留下了這一支
[00:07:45.133] 因為只有這一枝才能代表春天的全部
[00:07:48.833] 這枝梅花
[00:07:50.000] 因為沒有了周圍的噪音
[00:07:51.900] 而顯得無比震撼
[00:07:54.033] 這就是精確的力量
[00:07:56.133] 少不是為了少而少
[00:07:58.466] 而是為了純粹而流
[00:08:00.600] 這種思想在現代藝術裏也有共鳴
[00:08:03.700] 你看那些現代主
[00:08:04.800] 義的畫作
[00:08:06.266] 乾淨的幾何形
[00:08:08.300] 俐落的線條
[00:08:09.733] 藝術家刪減細節不是為了偷懶
[00:08:13.333] 而是為了創造意義
[00:08:15.233] 當我們敢於信任自己的感受
[00:08:18.066] 敢於精確的取捨
[00:08:20.066] 我們才能慢慢識別出
[00:08:21.500] 什麼是生命中真正重要的部分
[00:08:24.300] 那一刻我們的人生
[00:08:26.300] 也會像一副經過精心提煉的畫作
[00:08:29.700] 線條簡潔
[00:08:30.833] 光影分明
[00:08:31.900] 主題清晰
[00:08:33.666] 那麼具體該怎麼做
[00:08:35.933] 在這個充滿噪音的世界裏
[00:08:38.100] 我們如何拿起那把鑿子
[00:08:40.733] 這是一個非常實際的操作手冊
[00:08:43.400] 首先是決策的藝術
[00:08:46.066] 我們在生活中面臨無數選擇
[00:08:48.800] 買不買這件衣服
[00:08:50.200] 去不去這個聚會
[00:08:51.533] 接不接這個專案
[00:08:53.533] 大多數時候我們的反應是
[00:08:57.433] 嗯好像還不錯
[00:09:00.500] 或者也許吧
[00:09:02.800] 或者如果不去
[00:09:03.833] 會不會不太好
[00:09:05.500] 給你一個極其簡單的篩檢程式
[00:09:07.933] 這是我多年投資和生活
[00:09:09.633] 總結出來的鐵律
[00:09:11.733] 如果你的反應不是hell yeah
[00:09:14.033] 太棒了當然要
[00:09:17.000] 那麼答案就是no
[00:09:19.300] 這聽起來很極端
[00:09:21.100] 這意味著你會錯過很多還不錯的機會
[00:09:25.233] 但生活中的陷阱
[00:09:26.433] 恰恰就是那些還不錯的東西
[00:09:29.100] 它們是平庸的溫床
[00:09:31.100] 它們填滿了你的時間
[00:09:33.066] 耗盡了你的精力
[00:09:35.133] 讓你在真正的大機會來臨時
[00:09:37.933] 已經精疲力竭
[00:09:39.466] 無力抓住
[00:09:41.000] 如果對於一件小事
[00:09:42.800] 比如讀一本新書
[00:09:44.400] 你都要猶豫半天
[00:09:45.900] 那就別讀
[00:09:47.233] 如果對於買一件衣服
[00:09:49.066] 你還要想它什麼時候能穿
[00:09:51.400] 那就別買
[00:09:52.733] 對於更複雜的大決定
[00:09:54.333] 比如是否搬家
[00:09:55.700] 是否辭職
[00:09:56.900] 是否結婚
[00:09:58.400] 這裏有一個更加反直覺的原則
[00:10:01.000] 如果你需要列出長長的清單
[00:10:02.933] 來證明這個選擇是正確的
[00:10:05.300] 那他通常是錯誤的
[00:10:07.400] 查理芒格
[00:10:08.733] 那位充滿智慧的老人
[00:10:10.633] 他說他一輩子沒做多少聰明的決定
[00:10:13.333] 他只是避免了做愚蠢的決定
[00:10:16.000] 他說
[00:10:16.900] 最糟糕的決定往往伴隨著最多的理由
[00:10:20.466] 為什麼因為當你內心確信的時候
[00:10:24.033] 你不需要理由
[00:10:25.666] 你站在獅子龍面前
[00:10:27.333] 你不需要列出10個理由來決定
[00:10:29.733] 不跳進去
[00:10:31.133] 一個理由就夠了
[00:10:32.633] 獅子會吃人
[00:10:34.400] 如果你在一段關係中
[00:10:36.066] 你需要告訴自己
[00:10:37.866] 但他工作穩定
[00:10:39.500] 但他父母人好
[00:10:41.166] 但他偶爾也挺體貼
[00:10:43.333] 而且我現在年紀也不小了
[00:10:46.533] 停下來你在欺騙自己
[00:10:49.433] 這種過度理性化的羅列
[00:10:51.300] 往往掩蓋了你直覺上的厭惡
[00:10:54.300] 真相往往是簡單直接
[00:10:56.833] 不需要修飾的
[00:10:58.500] 如果你需要說服自己去做某件事
[00:11:01.433] 那通常意味著你內心深處並不想做
[00:11:04.833] 當然
[00:11:05.533] 醫學治療這種極其複雜的事情除外
[00:11:08.800] 但在生活的大多數決策中
[00:11:10.900] 聽從那個最原始的聲音往往是最優解
[00:11:15.033] 接下來讓我們談談人
[00:11:17.533] 這可能是最難做減法的領域
[00:11:20.400] 我們生活在一個社交網路
[00:11:22.400] 編織的巨大幻覺中
[00:11:24.833] 我們以為認識的人越多越好
[00:11:27.266] 通訊錄越厚越好
[00:11:29.200] 但這本質上是一個龐氏騙局
[00:11:32.000] 問問你自己
[00:11:33.833] 你的幾千個微信好友裏
[00:11:36.000] 有多少人是如果明天你破產了
[00:11:39.000] 或者生了重病
[00:11:40.633] 你願意毫無顧忌的打電話給他們的
[00:11:43.666] 或者反過來
[00:11:45.200] 有多少人
[00:11:45.800] 是你可以忍受
[00:11:46.733] 和他在一個孤島上共度一個月的
[00:11:49.566] 我們有多少人
[00:11:50.733] 僅僅是因為由於某種原因
[00:11:52.866] 我們在同一個空間而維持著關係
[00:11:56.300] 鄰居同事老同學
[00:11:59.666] 這種臨近性帶來的關係
[00:12:02.533] 往往是低質量的
[00:12:04.500] 對我們大多數人來說真
[00:12:06.533] 正的深度關係是稀缺的
[00:12:09.200] 當你試圖維持超過一定數量的關係時
[00:12:12.400] 所有的關係都會變得表面化交易化
[00:12:16.133] 我讀過一位作家的自白
[00:12:18.466] 他說我終於明白
[00:12:20.533] 我不是討厭人
[00:12:22.300] 而是討厭把時間
[00:12:23.500] 花在讓我感到空虛的人身上
[00:12:26.400] 有些關係之所以讓人疲憊
[00:12:28.100] 不是因為他們做錯了什麼
[00:12:30.100] 而是因為你們之間沒有共振
[00:12:32.633] 這不代表我們要變得冷漠無情
[00:12:35.333] 相反這代表我們變得更加深情
[00:12:37.933] 更加專注
[00:12:39.233] 我們的精力和愛是有限的資源
[00:12:42.600] 這就像你的銀行帳戶一樣
[00:12:45.066] 如果你把這些資源撒胡椒麵一樣
[00:12:47.066] 撒在那些無關緊要的點頭之交身上
[00:12:50.133] 你就是在浪費生命
[00:12:52.200] 學會把那些讓你感到消耗的人
[00:12:54.233] 請出你的生活
[00:12:56.000] 這不是殘忍
[00:12:57.266] 這是對你真正愛的人負責
[00:13:00.000] 只有當你清理了雜草
[00:13:01.666] 玫瑰才能盛開
[00:13:03.666] 再來說說承諾
[00:13:05.333] 這是現代人的另一種絕症
[00:13:07.700] 我們多久僅僅因為我們的日程表有空
[00:13:11.066] 就同意去做某事
[00:13:13.266] 或者因為我們害怕錯過
[00:13:15.266] formo塔勒布有一個絕妙的比喻
[00:13:18.266] 他說人生中的很多所謂機會
[00:13:21.400] 其實像是超市裏
[00:13:22.500] 那些貼著限時搶購的商品
[00:13:25.466] 你本來根本不需要那個電動攪拌機
[00:13:28.066] 但你看到僅剩兩臺3折優惠的字樣
[00:13:32.066] 你的原始大腦就慌了
[00:13:34.266] 你覺得不買就是吃虧
[00:13:36.500] 於是你把它買回家
[00:13:38.466] 結果呢它既不實用
[00:13:40.533] 也占了你廚房的空間
[00:13:42.300] 最後變成了結灰的垃圾
[00:13:44.633] 我們答應的很多飯局會議合作活動
[00:13:49.633] 本質上就是這種限時搶購的攪拌機
[00:13:53.500] 我們以為把日程表填滿就是生活充實
[00:13:56.533] 其實我們只是在用忙碌來掩蓋
[00:13:58.600] 內心的空虛精要主義裏寫道
[00:14:02.133] 真正聰明的選擇
[00:14:03.900] 不是能做多少
[00:14:05.533] 而是知道哪些不做也絕對不會後悔
[00:14:09.300] 我們要學會區分可行的和值得的
[00:14:13.400] 很多事情是可行的
[00:14:15.266] 你可以去做
[00:14:16.800] 但這不代表他值得你生命的投入
[00:14:20.000] 最後我們要談談物質和刺激
[00:14:24.233] 這可能是最容易下手
[00:14:25.666] 但也最容易反彈的領域
[00:14:28.133] 看看你的衣櫃
[00:14:29.233] 你的車庫
[00:14:30.433] 你的儲物間
[00:14:32.033] 如果明天一場大火把這些東西都燒了
[00:14:35.033] 當然人沒事
[00:14:37.500] 你會真正懷念其中的多少
[00:14:40.200] 愛因斯坦
[00:14:40.800] 每天穿幾乎一模一樣的灰色西裝
[00:14:43.933] 喬布斯永遠是黑色高領衫和牛仔褲
[00:14:47.233] 為什麼因為
[00:14:48.466] 他們明白一個關於大腦的深刻秘密
[00:14:51.133] 決策疲勞
[00:14:52.600] 你的認知能量是有限的
[00:14:55.000] 每一天你的大腦電池只有那麼多電
[00:14:59.500] 如果你把電量浪費在今天穿什麼
[00:15:02.000] 那個擺設要怎麼擦
[00:15:03.933] 車庫裏的雜物怎麼整理
[00:15:05.933] 這些瑣碎的事情上
[00:15:07.833] 你就沒有足夠的電量去思考相對論
[00:15:10.533] 或者設計iPhone了
[00:15:12.466] 這並不是說我們都要像苦行僧一樣
[00:15:15.533] 而是我們要認真的問自己一句話
[00:15:18.333] 這個東西真的值得我每天為它做決定
[00:15:21.400] 清理保養
[00:15:22.433] 騰出空間來照顧它嗎
[00:15:24.833] 我們以為我們擁有了物品
[00:15:26.933] 其實很多時候是物品擁有了我們
[00:15:30.400] 我們在為我們的財產打工
[00:15:32.633] 比物質更可怕的是資訊的超載
[00:15:35.900] 我們生活在一個多巴胺的自助餐廳裏
[00:15:39.200] 你可以隨時隨地獲取刺激
[00:15:41.000] 新聞短視頻社交媒體八卦
[00:15:45.000] 我們的大腦從未有過片刻的停歇
[00:15:48.100] 我們獲取了無限的資訊
[00:15:50.433] 卻失去了深刻的個人化的體驗
[00:15:54.833] 我們焦慮的刷
[00:15:55.733] 著新聞生怕跟不上熱點
[00:15:58.733] 但說實話
[00:16:00.100] 一個月前的熱點新聞
[00:16:01.866] 現在對你的生活
[00:16:02.866] 哪怕有一丁點的影響嗎
[00:16:05.266] 人類學家大衛格雷伯說的很犀利
[00:16:08.200] 我們並不是在娛樂中尋找快樂
[00:16:10.866] 而是在娛樂中
[00:16:11.900] 尋找一種對意義感喪失的暫時遺忘
[00:16:15.600] 我們刷手機
[00:16:16.733] 是因為我們害怕面對自己
[00:16:19.133] 我們害怕那種寂靜
[00:16:20.866] 喬布斯不讓他的孩子玩iPad
[00:16:23.533] 這很諷刺
[00:16:24.500] 對吧因為他知道
[00:16:26.833] 持續的螢幕刺激
[00:16:28.500] 會偷走人類最寶貴的能力
[00:16:30.866] 深度思考的能力
[00:16:33.033] 真正的創造深度的重建
[00:16:35.600] 靈魂的覺醒
[00:16:37.333] 只有在那片寧靜中才有可能發生
[00:16:41.033] 你需要無聊
[00:16:42.533] 無聊是創造力的搖籃
[00:16:44.733] 如果你不能忍受內在的寂靜
[00:16:47.300] 你就永遠無法獲得真正的自由
[00:16:50.100] 通過這一系列的雕琢
[00:16:51.900] 減少不必要的決策
[00:16:53.966] 減少無效的社交
[00:16:55.700] 減少虛榮的承諾
[00:16:57.666] 減少資訊的噪音
[00:16:59.833] 我們最終得到的是更少的擔憂
[00:17:03.333] 我們減少了焦慮困惑
[00:17:05.866] 壓力與疏離的來源
[00:17:08.833] 我們將生活還原成了他本該有的樣子
[00:17:12.200] 就像亨利
[00:17:13.400] 大衛梭羅在瓦爾登湖畔所說的
[00:17:17.266] 如果一個人自信的朝著他的夢想前進
[00:17:20.600] 並努力活出他所想像的生活
[00:17:23.866] 那他將在平凡的日子裏
[00:17:25.533] 收穫意想不到的成功
[00:17:28.100] 請注意他說的是平凡的日子
[00:17:32.133] 不是在你上市敲鐘的那一天
[00:17:34.933] 不是在你獲得諾貝爾獎的那一天
[00:17:37.633] 而是在每一個平凡的週二清晨
[00:17:40.666] 當你醒來
[00:17:41.866] 感到內心清澈
[00:17:43.600] 對生活充滿掌控感的時候
[00:17:46.033] 當生活變簡單了
[00:17:47.800] 宇宙的法則將不再顯得複雜
[00:17:50.666] 孤獨不再是孤獨
[00:17:52.300] 而是獨處貧窮不再是貧窮
[00:17:55.800] 而是簡樸
[00:17:57.200] 軟弱也不再是軟弱
[00:17:59.233] 而是溫柔
[00:18:00.800] 這是一種深刻的現實洞察
[00:18:03.500] 越是複雜的世界
[00:18:05.100] 越需要簡單的心智結構來穿越
[00:18:08.200] 我知道不是每個人
[00:18:09.866] 現在就能拋下一切去當隱士
[00:18:12.333] 這不現實
[00:18:13.833] 你有房貸
[00:18:15.066] 你有孩子
[00:18:16.233] 你有責任
[00:18:17.633] 但我們必須承認
[00:18:18.933] 雖然這很難
[00:18:20.733] 但這是值得追求的方向
[00:18:23.100] 我們依然習慣用加法來定義成功
[00:18:27.033] 這是可以理解的
[00:18:28.933] 因為社會這臺巨大的機器
[00:18:30.900] 就是這樣設計的
[00:18:32.466] 但如果有一天
[00:18:33.600] 哪怕是一瞬間
[00:18:35.100] 你能將成功與滿足視為一種減法過程
[00:18:38.733] 那你就開始覺醒了
[00:18:40.733] 我們或許需要嘗試許多版本的生活
[00:18:43.633] 才能知道什麼真正適合自己
[00:18:46.633] 但更重要的是
[00:18:48.033] 我們要有勇氣
[00:18:49.266] 退回那些並不適合的版本
[00:18:52.466] 我們必須學會崇尚
[00:18:53.933] 拒絕每一次說不
[00:18:56.600] 都是在為那個真正重要的事騰出空間
[00:19:00.533] 我們要不斷的進行減法與雕琢
[00:19:03.300] 直到只剩下那一塊
[00:19:04.700] 真正屬於我們的人生雕塑
[00:19:07.466] 也許我們並不是走錯了方向
[00:19:09.933] 只是
[00:19:10.233] 我們早就跑過了自己真正想去的地方
[00:19:13.533] 那個最初的生活願景
[00:19:15.633] 在這個喧囂的時代
[00:19:17.333] 保持清醒是一種反叛
[00:19:20.100] 如果你覺得今天的這些思考
[00:19:21.866] 對你有哪怕一點點的觸動
[00:19:24.133] 或者讓你開始重新審視你的日程表
[00:19:27.500] 請在評論區告訴我
[00:19:29.433] 你打算從生活中減掉什麼
[00:19:32.133] 是那個消耗你的酒肉朋友
[00:19:34.100] 是那個毫無意義的應酬
[00:19:36.033] 還是那個讓你焦慮的新聞APP
[00:19:38.700] 這是一個關於清醒的社區
[00:19:41.066] 如果你想在這個充滿噪音的世界裏
[00:19:43.233] 保持清晰的頭腦
[00:19:44.733] 找回屬於你的時間主權
[00:19:47.433] 記得點贊訂閱
[00:19:49.466] 並且一定要打開那個
[00:19:50.800] 小鈴鐺這樣
[00:19:52.333] 你就不會錯過下一次
[00:19:53.833] 我們關於心智自由的深度對話
[00:19:56.600] 不要讓演算法控制你
[00:19:58.300] 你要控制演算法
[00:19:59.866] 我是納瓦爾
[00:20:00.800] 我們下次見
